Ano Mês,Consumo Médio,Consumo,Rlin,Consumo_fuzzy,ConsumoMLP,ConsumoMLP2
2018-01,321283.6438333333,539692.068,353043.45527914976,434407.8930543685,527642.469034782,527642.469034782
2018-02,321283.6438333333,509496.94100000005,354339.7741136729,349554.8902008093,528432.7473722983,528432.7473722983
2018-03,321283.6438333333,478114.716,355636.092948196,356978.53935010266,470392.1693913074,470392.1693913074
2018-04,321283.6438333333,386095.065,356932.4117827192,368787.8034558706,428766.9392640238,428766.9392640238
2018-05,321283.6438333333,330628.46300000005,358228.7306172423,267388.61170290865,355398.0985388919,355398.0985388919
2018-06,321283.6438333333,302382.1080000001,359525.0494517654,267770.9682727612,291016.76684744196,291016.76684744196
2018-07,321283.6438333333,284376.07299999986,360821.3682862885,267753.0619838428,268749.02417043765,268749.02417043765
2018-08,321283.6438333333,284391.552,362117.6871208117,267964.0989723621,263370.05860222975,263370.05860222975
2018-09,321283.6438333333,281438.973,363414.00595533475,267181.3277596349,295682.0948346061,295682.0948346061
2018-10,321283.6438333333,278643.91499999986,364710.3247898579,268340.5898993318,302258.03221016674,302258.03221016674
2018-11,321283.6438333333,310718.77400000003,366006.643624381,338533.4615364275,318107.33775118855,318107.33775118855
2018-12,321283.6438333333,395485.763,367302.9624589041,350380.3425246157,412047.7512514868,412047.7512514868
